date,delay_change,growth_rate,delay_percentage,delay_percentage_change,year
1/1/04,0.027389923,0.022909441,0.217187517,0.005321008,2004
2/1/04,-0.129966386,-0.047134361,0.194910484,-0.087967838,2004
3/1/04,-0.019822373,0.088571035,0.169893869,-0.099896831,2004
4/1/04,-0.050076177,-0.028084777,0.162585986,-0.02266456,2004
5/1/04,0.26191443,0.017283206,0.199289493,0.23911192,2004
6/1/04,0.256743121,-0.003019415,0.241900911,0.262863217,2004
7/1/04,-0.01346858,0.047429523,0.224972826,-0.060743238,2004
8/1/04,-0.056053195,0.01362095,0.208332413,-0.068457298,2004
9/1/04,-0.402544336,-0.067619922,0.133864726,-0.359985404,2004
10/1/04,0.390613743,0.051369904,0.16776005,0.328640403,2004
11/1/04,0.100739384,-0.034245661,0.184815076,0.137982705,2004
12/1/04,0.524492335,0.038503097,0.263231709,0.466067031,2004
1/1/05,-0.080407504,-0.022374424,0.24635388,-0.059679406,2005
2/1/05,-0.209340573,-0.079188904,0.210890981,-0.142845544,2005
3/1/05,0.236875827,0.136607031,0.227130833,0.0873448,2005
4/1/05,-0.315970002,-0.037548383,0.158380959,-0.289873876,2005
5/1/05,0.091723483,0.036227194,0.163295114,0.050438698,2005
6/1/05,0.500538108,-0.006716166,0.244450398,0.51221496,2005
7/1/05,0.174089489,0.035658948,0.272722259,0.134655942,2005
8/1/05,-0.168619575,0.001274066,0.223646411,-0.169325683,2005
9/1/05,-0.351362212,-0.087484498,0.157593235,-0.291316683,2005
10/1/05,0.218722557,0.036579203,0.184100147,0.172938388,2005
11/1/05,0.055562684,-0.042641865,0.195826128,0.099974609,2005
12/1/05,0.480593185,0.021858213,0.27457947,0.446719032,2005
1/1/06,-0.244068407,0.01138406,0.20312445,-0.25256705,2006
2/1/06,0.051657001,-0.081631675,0.227109018,0.146255236,2006
3/1/06,0.091428418,0.140172046,0.217758301,-0.042614352,2006
4/1/06,-0.087424293,-0.036724522,0.202261289,-0.052222948,2006
5/1/06,0.03810964,0.022638565,0.204231328,0.017773763,2006
6/1/06,0.292242273,-0.008964003,0.260885415,0.303219004,2006
7/1/06,-0.009603271,0.03716969,0.248245787,-0.045118874,2006
8/1/06,-0.083564817,0.012381892,0.221983741,-0.094623771,2006
9/1/06,-0.087436467,-0.072417372,0.218744964,-0.017550165,2006
10/1/06,0.181224061,0.049315711,0.242007269,0.125241828,2006
11/1/06,-0.076875203,-0.036194789,0.229764774,-0.043052958,2006
12/1/06,0.25634309,0.037216432,0.265418145,0.207025302,2006
1/1/07,-0.069876407,0.016412877,0.241744259,-0.084534165,2007
2/1/07,0.104570461,-0.087724007,0.287628763,0.209548175,2007
3/1/07,-0.001892855,0.131626337,0.253988931,-0.117668245,2007
4/1/07,-0.094561066,-0.03965546,0.238888204,-0.057310975,2007
5/1/07,-0.045387609,0.01883477,0.219480372,-0.064966147,2007
6/1/07,0.369471208,-0.011530117,0.297716127,0.382485227,2007
7/1/07,-0.009683134,0.030431328,0.283603455,-0.039394711,2007
8/1/07,-0.044682442,0.004360606,0.266883489,-0.049075785,2007
9/1/07,-0.406307311,-0.080634028,0.172368073,-0.354500005,2007
10/1/07,0.335413337,0.048033052,0.218819281,0.272930246,2007
11/1/07,-0.122242293,-0.032018523,0.198787309,-0.090819598,2007
12/1/07,0.761237459,0.02317565,0.320893611,0.71792835,2007
1/1/08,-0.240147815,-0.01590168,0.247568646,-0.227323347,2008
2/1/08,0.085902608,-0.055583072,0.277710267,0.147945064,2008
3/1/08,0.017258744,0.088916382,0.258894509,-0.065896811,2008
4/1/08,-0.21010641,-0.032070749,0.211585618,-0.184722113,2008
5/1/08,-0.010779534,0.013080925,0.204197183,-0.026569335,2008
6/1/08,0.415950679,-0.002136242,0.282880459,0.419406518,2008
7/1/08,-0.144964397,0.035725288,0.232864095,-0.175412079,2008
8/1/08,-0.128240589,-0.023366607,0.205895457,-0.108170513,2008
9/1/08,-0.396669294,-0.114355558,0.140116012,-0.322646958,2008
10/1/08,0.061818728,0.033617303,0.136468531,0.026841854,2008
11/1/08,0.166894108,-0.051696193,0.164593794,0.230733901,2008
12/1/08,1.115487714,0.041462372,0.31086657,1.028446477,2008
1/1/09,-0.33864794,-0.023829524,0.209986818,-0.32271135,2009
2/1/09,-0.258330936,-0.079208583,0.169441748,-0.194084657,2009
3/1/09,0.36942028,0.14315291,0.194483436,0.196237665,2009
4/1/09,-0.01735634,-0.033356776,0.198033482,0.015896251,2009
5/1/09,0.015014391,0.021023023,0.196421556,-0.006333071,2009
6/1/09,0.297497531,0.014096396,0.235179276,0.275479513,2009
7/1/09,-0.036081869,0.038163159,0.212673518,-0.072164774,2009
8/1/09,-0.098559367,-0.019754655,0.194976056,-0.079373676,2009
9/1/09,-0.40605347,-0.102688069,0.128140338,-0.337223665,2009
10/1/09,0.770163443,0.043001693,0.208490084,0.701530318,2009
11/1/09,-0.443753192,-0.039439202,0.111281163,-0.42521023,2009
12/1/09,1.57477181,0.044168441,0.247619996,1.461599162,2009
1/1/10,-0.253435163,-0.015190525,0.186289625,-0.243276481,2010
2/1/10,-0.051975303,-0.075130606,0.19078562,0.024120786,2010
3/1/10,0.166780176,0.140172003,0.192742658,0.022557152,2010
4/1/10,-0.258587098,-0.03216889,0.138088401,-0.233673435,2010
5/1/10,0.353187347,0.026638119,0.181180144,0.317817519,2010
6/1/10,0.201285361,0.011346831,0.211735434,0.18587249,2010
7/1/10,0.032634195,0.035505004,0.210091736,-0.002755408,2010
8/1/10,-0.180106787,-0.00436688,0.171809088,-0.176603317,2010
9/1/10,-0.226265164,-0.076752428,0.14284916,-0.161541606,2010
10/1/10,0.165338986,0.039721052,0.158613472,0.120059533,2010
11/1/10,0.011040393,-0.033820652,0.159889639,0.047000433,2010
12/1/10,0.577212132,0.040650784,0.241097504,0.517579244,2010
1/1/11,-0.205521629,-0.061602584,0.19869547,-0.15456903,2011
2/1/11,-0.073044913,-0.081970735,0.197246338,0.0091961,2011
3/1/11,0.135947138,0.156548847,0.192987445,-0.017073182,2011
4/1/11,0.147881413,-0.038797855,0.226142988,0.193303758,2011
5/1/11,-0.055370704,0.025144009,0.20952806,-0.078208729,2011
6/1/11,0.043409219,0.015530172,0.210826048,0.026709922,2011
7/1/11,-0.011400786,0.038540263,0.200568221,-0.048366967,2011
8/1/11,-0.079341494,-0.01237878,0.187403507,-0.067798091,2011
9/1/11,-0.225708604,-0.096975989,0.162304468,-0.142093697,2011
10/1/11,-0.044924949,0.034238544,0.144923145,-0.075102286,2011
11/1/11,-0.066866659,-0.04750704,0.138123401,-0.015765867,2011
12/1/11,0.094962256,0.037724972,0.141112219,0.052008366,2011
1/1/12,0.045346011,-0.019829968,0.146646183,0.065596703,2012
2/1/12,-0.187728298,-0.044369706,0.121451554,-0.150460097,2012
3/1/12,0.549111898,0.12691368,0.165490806,0.375607181,2012
4/1/12,-0.265020503,-0.02997293,0.124419947,-0.241542821,2012
5/1/12,0.350597622,0.023189804,0.161948937,0.320219326,2012
6/1/12,0.18850633,0.013933703,0.183058507,0.167113972,2012
7/1/12,0.251629696,0.035347567,0.219772045,0.210832029,2012
8/1/12,-0.118124182,-0.007397128,0.194475205,-0.1101584,2012
9/1/12,-0.257567946,-0.089917534,0.160471641,-0.184705584,2012
10/1/12,0.157204178,0.05013121,0.168856062,0.103889743,2012
11/1/12,-0.232826403,-0.044624866,0.13419031,-0.195973009,2012
12/1/12,0.671632732,0.017905493,0.213740123,0.638009648,2012
1/1/13,-0.173281131,0.025815538,0.166811467,-0.200945412,2013
2/1/13,-0.0372373,-0.077426721,0.173588918,0.042996086,2013
3/1/13,0.273113575,0.1785683,0.185080656,0.078670803,2013
4/1/13,0.105799958,-0.030372128,0.208819057,0.140389763,2013
5/1/13,-0.065061794,0.021497975,0.190342034,-0.085590961,2013
6/1/13,0.400782431,0.009539786,0.259004912,0.387407975,2013
7/1/13,0.001616968,0.0363973,0.250730675,-0.033999653,2013
8/1/13,-0.217194523,-0.016465025,0.196936437,-0.203686556,2013
9/1/13,-0.308560968,-0.094231428,0.148515885,-0.238164308,2013
10/1/13,0.043933018,0.051170567,0.146122945,-0.008012754,2013
11/1/13,-0.008674929,-0.051271038,0.149080436,0.041435663,2013
12/1/13,0.91632527,0.031418998,0.272406522,0.856934159,2013
1/1/14,-0.147661761,-0.078744658,0.250632467,-0.072365403,2014
2/1/14,-0.155237123,-0.085911625,0.228803982,-0.074191793,2014
3/1/14,0.018583142,0.179571407,0.194724042,-0.136383385,2014
4/1/14,-0.093627344,-0.038391712,0.183505988,-0.057122151,2014
5/1/14,0.139184294,0.027465413,0.202722947,0.106603155,2014
6/1/14,0.230130024,0.004673588,0.244461681,0.222950047,2014
7/1/14,-0.037063436,0.036976722,0.224056244,-0.071436659,2014
8/1/14,-0.115027397,-0.02384697,0.200666344,-0.094073057,2014
9/1/14,-0.240906944,-0.080794432,0.164470477,-0.175677491,2014
10/1/14,0.146558606,0.049461237,0.180199675,0.092866454,2014
11/1/14,-0.010502029,-0.049505707,0.179031156,0.036503942,2014
12/1/14,0.283169797,0.036611661,0.221055388,0.238009593,2014
1/1/15,-0.06130502,-0.008720193,0.198608094,-0.056726753,2015
2/1/15,0.008456241,-0.090112269,0.219725737,0.106390363,2015
3/1/15,0.019766775,0.17490892,0.189011873,-0.131009162,2015
4/1/15,-0.12917067,-0.034945309,0.168251397,-0.097874929,2015
5/1/15,0.076002821,0.027219647,0.176043971,0.04688823,2015
6/1/15,0.358261669,0.013443037,0.230387903,0.338818522,2015
7/1/15,-0.053485132,0.034500287,0.210047272,-0.085797019,2015
8/1/15,-0.115344094,-0.020031765,0.187764193,-0.097063279,2015
9/1/15,-0.337036627,-0.093685359,0.137680033,-0.268798373,2015
10/1/15,-0.014449007,0.046068774,0.126708722,-0.058127711,2015
11/1/15,0.14485298,-0.033627443,0.147805138,0.188451066,2015
12/1/15,0.473395705,0.032254364,0.208152325,0.423961142,2015