date,growth
6/30/04,0.0713
9/30/04,0.0639
12/31/04,0.0631
3/31/05,0.0688
6/30/05,0.0651
9/30/05,0.0677
12/31/05,0.0652
3/31/06,0.0652
6/30/06,0.0636
9/30/06,0.0532
12/31/06,0.0512
3/31/07,0.0428
6/30/07,0.0451
9/30/07,0.0475
12/31/07,0.044
3/31/08,0.0306
6/30/08,0.0271
9/30/08,0.0188
12/31/08,-0.0092
3/31/09,-0.0194
6/30/09,-0.0319
9/30/09,-0.0309
12/31/09,0.0011
3/31/10,0.0207
6/30/10,0.0382
9/30/10,0.0468
12/31/10,0.0456
3/31/11,0.038
6/30/11,0.0384
9/30/11,0.0352
12/31/11,0.0364
3/31/12,0.0483
6/30/12,0.0428
9/30/12,0.0411
12/31/12,0.0324
3/31/13,0.0292
6/30/13,0.0251
9/30/13,0.0308
12/31/13,0.0405
3/31/14,0.0331
6/30/14,0.045
9/30/14,0.0475
12/31/14,0.0388
3/31/15,0.0392
6/30/15,0.0373